Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Inventory Qty,Variant Price,Variant Compare At Price,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description
ocean-blue-shirt,Ocean Blue Shirt,"<p>Premium cotton shirt with a narrow collar and buttons down the front. Features a comfortable fit and tiled kaleidoscope patterns. Perfect for both casual and business wear.</p>",Veyra Clothing,Shirts,"men, cotton, casual, business",TRUE,Color,Blue,Size,S,VEY_BS_001,15,50.00,65.00,https://burst.shopifycdn.com/photos/young-man-in-bright-fashion_925x.jpg,1,Ocean Blue Shirt - Small,Ocean Blue Shirt | Veyra Clothing,Premium cotton shirts with kaleidoscope patterns
ocean-blue-shirt,Ocean Blue Shirt,"<p>Premium cotton shirt with a narrow collar and buttons down the front. Features a comfortable fit and tiled kaleidoscope patterns. Perfect for both casual and business wear.</p>",Veyra Clothing,Shirts,"men, cotton, casual, business",TRUE,Color,Blue,Size,M,VEY_BS_002,12,50.00,65.00,https://burst.shopifycdn.com/photos/young-man-in-bright-fashion_925x.jpg,2,Ocean Blue Shirt - Medium,Ocean Blue Shirt | Veyra Clothing,Premium cotton shirts with kaleidoscope patterns
ocean-blue-shirt,Ocean Blue Shirt,"<p>Premium cotton shirt with a narrow collar and buttons down the front. Features a comfortable fit and tiled kaleidoscope patterns. Perfect for both casual and business wear.</p>",Veyra Clothing,Shirts,"men, cotton, casual, business",TRUE,Color,Blue,Size,L,VEY_BS_003,8,50.00,65.00,https://burst.shopifycdn.com/photos/young-man-in-bright-fashion_925x.jpg,3,Ocean Blue Shirt - Large,Ocean Blue Shirt | Veyra Clothing,Premium cotton shirts with kaleidoscope patterns
ocean-blue-shirt,Ocean Blue Shirt,"<p>Premium cotton shirt with a narrow collar and buttons down the front. Features a comfortable fit and tiled kaleidoscope patterns. Perfect for both casual and business wear.</p>",Veyra Clothing,Shirts,"men, cotton, casual, business",TRUE,Color,Blue,Size,XL,VEY_BS_004,5,50.00,65.00,https://burst.shopifycdn.com/photos/young-man-in-bright-fashion_925x.jpg,4,Ocean Blue Shirt - XL,Ocean Blue Shirt | Veyra Clothing,Premium cotton shirts with kaleidoscope patterns
classic-varsity-top,Classic Varsity Top,"<p>Sport-inspired varsity top with grey and black design. Features embroidered lettering and comfortable fit. Perfect for casual outings and sports activities.</p>",Veyra Clothing,Tops,"women, sport, casual, embroidered",TRUE,Color,Grey,Size,S,VEY_VT_001,20,60.00,75.00,https://burst.shopifycdn.com/photos/casual-fashion-woman_925x.jpg,1,Grey Varsity Top - Small,Classic Varsity Top | Veyra Clothing,Sport-inspired varsity tops with embroidered details
classic-varsity-top,Classic Varsity Top,"<p>Sport-inspired varsity top with grey and black design. Features embroidered lettering and comfortable fit. Perfect for casual outings and sports activities.</p>",Veyra Clothing,Tops,"women, sport, casual, embroidered",TRUE,Color,Grey,Size,M,VEY_VT_002,18,60.00,75.00,https://burst.shopifycdn.com/photos/casual-fashion-woman_925x.jpg,2,Grey Varsity Top - Medium,Classic Varsity Top | Veyra Clothing,Sport-inspired varsity tops with embroidered details
classic-varsity-top,Classic Varsity Top,"<p>Sport-inspired varsity top with grey and black design. Features embroidered lettering and comfortable fit. Perfect for casual outings and sports activities.</p>",Veyra Clothing,Tops,"women, sport, casual, embroidered",TRUE,Color,Grey,Size,L,VEY_VT_003,15,60.00,75.00,https://burst.shopifycdn.com/photos/casual-fashion-woman_925x.jpg,3,Grey Varsity Top - Large,Classic Varsity Top | Veyra Clothing,Sport-inspired varsity tops with embroidered details
yellow-wool-jumper,Yellow Wool Jumper,"<p>Soft wool blend jumper with low dropped shoulders and wide sleeves. Features thick cuffs and is perfect for keeping warm during Fall and Winter seasons.</p>",Veyra Clothing,Jumpers,"women, wool, warm, fall, winter",TRUE,Color,Yellow,Size,S,VEY_WJ_001,10,80.00,95.00,https://burst.shopifycdn.com/photos/autumn-photographer-taking-picture_925x.jpg,1,Yellow Wool Jumper - Small,Yellow Wool Jumper | Veyra Clothing,Soft wool blend jumpers perfect for cold weather
yellow-wool-jumper,Yellow Wool Jumper,"<p>Soft wool blend jumper with low dropped shoulders and wide sleeves. Features thick cuffs and is perfect for keeping warm during Fall and Winter seasons.</p>",Veyra Clothing,Jumpers,"women, wool, warm, fall, winter",TRUE,Color,Yellow,Size,M,VEY_WJ_002,8,80.00,95.00,https://burst.shopifycdn.com/photos/autumn-photographer-taking-picture_925x.jpg,2,Yellow Wool Jumper - Medium,Yellow Wool Jumper | Veyra Clothing,Soft wool blend jumpers perfect for cold weather
yellow-wool-jumper,Yellow Wool Jumper,"<p>Soft wool blend jumper with low dropped shoulders and wide sleeves. Features thick cuffs and is perfect for keeping warm during Fall and Winter seasons.</p>",Veyra Clothing,Jumpers,"women, wool, warm, fall, winter",TRUE,Color,Yellow,Size,L,VEY_WJ_003,6,80.00,95.00,https://burst.shopifycdn.com/photos/autumn-photographer-taking-picture_925x.jpg,3,Yellow Wool Jumper - Large,Yellow Wool Jumper | Veyra Clothing,Soft wool blend jumpers perfect for cold weather
floral-white-top,Floral White Top,"<p>Elegant sleeveless white top featuring a beautiful floral pattern. Perfect for summer days and special occasions. Lightweight and breathable fabric.</p>",Veyra Clothing,Tops,"women, floral, summer, elegant, sleeveless",TRUE,Color,White,Size,S,VEY_FT_001,25,75.00,90.00,https://burst.shopifycdn.com/photos/city-woman-fashion_925x@2x.jpg,1,White Floral Top - Small,Floral White Top | Veyra Clothing,Elegant floral tops perfect for summer and special occasions
floral-white-top,Floral White Top,"<p>Elegant sleeveless white top featuring a beautiful floral pattern. Perfect for summer days and special occasions. Lightweight and breathable fabric.</p>",Veyra Clothing,Tops,"women, floral, summer, elegant, sleeveless",TRUE,Color,White,Size,M,VEY_FT_002,22,75.00,90.00,https://burst.shopifycdn.com/photos/city-woman-fashion_925x@2x.jpg,2,White Floral Top - Medium,Floral White Top | Veyra Clothing,Elegant floral tops perfect for summer and special occasions
floral-white-top,Floral White Top,"<p>Elegant sleeveless white top featuring a beautiful floral pattern. Perfect for summer days and special occasions. Lightweight and breathable fabric.</p>",Veyra Clothing,Tops,"women, floral, summer, elegant, sleeveless",TRUE,Color,White,Size,L,VEY_FT_003,18,75.00,90.00,https://burst.shopifycdn.com/photos/city-woman-fashion_925x@2x.jpg,3,White Floral Top - Large,Floral White Top | Veyra Clothing,Elegant floral tops perfect for summer and special occasions
striped-silk-blouse,Striped Silk Blouse,"<p>Ultra-stylish black and red striped silk blouse with buckle collar. Features matching button details and is perfect for professional settings and evening events.</p>",Veyra Clothing,Blouses,"women, silk, professional, evening, striped",TRUE,Color,Black-Red,Size,S,VEY_SB_001,12,50.00,65.00,https://burst.shopifycdn.com/photos/striped-blouse-fashion_925x.jpg,1,Black-Red Striped Blouse - Small,Striped Silk Blouse | Veyra Clothing,Ultra-stylish silk blouses perfect for professional and evening wear
striped-silk-blouse,Striped Silk Blouse,"<p>Ultra-stylish black and red striped silk blouse with buckle collar. Features matching button details and is perfect for professional settings and evening events.</p>",Veyra Clothing,Blouses,"women, silk, professional, evening, striped",TRUE,Color,Black-Red,Size,M,VEY_SB_002,10,50.00,65.00,https://burst.shopifycdn.com/photos/striped-blouse-fashion_925x.jpg,2,Black-Red Striped Blouse - Medium,Striped Silk Blouse | Veyra Clothing,Ultra-stylish silk blouses perfect for professional and evening wear
